,date,open,close,high,low,volume,code,股价
5,2018-06-08,10.007,9.847,10.136,9.672,167972.0,600305,10.0
7,2018-06-12,9.566,9.885,9.946,9.467,147445.0,600305,9.5
8,2018-06-13,9.878,9.771,10.015,9.672,139618.0,600305,10.0
10,2018-06-15,9.43,9.31,9.5,9.1,89744.0,600305,9.5
14,2018-06-22,9.01,9.14,9.33,8.92,141334.0,600305,9.0
15,2018-06-25,9.18,9.4,9.61,9.15,200856.0,600305,9.5
21,2018-07-03,8.98,9.02,9.08,8.55,150884.0,600305,9.0
24,2018-07-06,8.6,8.5,8.75,8.25,143094.0,600305,8.5
26,2018-07-10,9.13,9.3,9.36,9.03,158689.0,600305,9.0
28,2018-07-12,9.36,9.77,9.88,9.35,181734.0,600305,9.5
38,2018-07-26,9.95,9.84,10.03,9.77,89275.0,600305,10.0
40,2018-07-30,9.82,9.58,9.91,9.44,161966.0,600305,9.5
42,2018-08-01,10.19,9.89,10.26,9.83,201182.0,600305,10.0
44,2018-08-03,9.57,9.12,9.69,9.02,167872.0,600305,9.5
48,2018-08-09,8.95,9.33,9.47,8.81,119089.0,600305,9.0
50,2018-08-13,9.45,9.43,9.54,9.21,81335.0,600305,9.5
55,2018-08-20,8.88,9.08,9.09,8.84,69056.0,600305,9.0
59,2018-08-24,9.7,9.71,9.95,9.63,133961.0,600305,9.5
63,2018-08-30,9.96,9.9,10.08,9.85,72625.0,600305,10.0
64,2018-08-31,9.89,9.58,9.89,9.58,116310.0,600305,9.5
66,2018-09-04,9.95,9.99,10.06,9.75,120637.0,600305,10.0
68,2018-09-06,9.81,9.88,9.91,9.62,86904.0,600305,9.5
73,2018-09-13,10.0,9.71,10.02,9.54,199885.0,600305,10.0
76,2018-09-18,9.35,9.69,9.7,9.33,107006.0,600305,9.5
77,2018-09-19,9.63,9.9,10.02,9.63,188504.0,600305,10.0
78,2018-09-20,9.85,9.8,9.96,9.78,102262.0,600305,9.5
79,2018-09-21,9.88,10.4,10.4,9.86,278531.0,600305,10.0
80,2018-09-25,10.34,10.69,10.74,10.3,281145.0,600305,10.5
84,2018-10-08,11.3,11.26,11.57,11.12,282441.0,600305,11.5
86,2018-10-10,11.21,11.11,11.21,10.91,254638.0,600305,11.0
89,2018-10-15,10.71,9.88,10.73,9.79,443107.0,600305,10.5
91,2018-10-17,10.34,9.7,10.36,9.36,375823.0,600305,10.0
93,2018-10-19,9.27,9.92,9.97,9.27,259793.0,600305,9.5
94,2018-10-22,10.15,10.45,10.64,10.0,389614.0,600305,10.5
96,2018-10-24,10.12,9.93,10.15,9.82,204753.0,600305,10.0
98,2018-10-26,9.92,9.46,9.96,9.36,214809.0,600305,9.5
101,2018-10-31,9.14,9.37,9.45,9.12,187053.0,600305,9.0
105,2018-11-06,9.64,9.8,9.83,9.55,119345.0,600305,9.5
107,2018-11-08,9.94,9.75,10.1,9.7,147989.0,600305,10.0
109,2018-11-12,9.69,9.87,9.89,9.55,120417.0,600305,9.5
113,2018-11-16,10.01,9.96,10.05,9.88,108588.0,600305,10.0
119,2018-11-26,9.42,9.38,9.53,9.33,50333.0,600305,9.5
120,2018-11-27,9.43,9.4,9.44,9.36,37550.0,600305,9.0
123,2018-11-30,9.46,9.62,9.66,9.38,55087.0,600305,9.5
124,2018-12-03,9.85,9.97,10.05,9.75,195316.0,600305,10.0
125,2018-12-04,9.93,9.91,9.94,9.8,119912.0,600305,9.5
126,2018-12-05,9.75,9.88,10.02,9.75,111146.0,600305,10.0
127,2018-12-06,9.81,9.76,9.93,9.71,77984.0,600305,9.5
131,2018-12-12,10.09,10.06,10.14,10.0,94998.0,600305,10.0
134,2018-12-17,10.36,10.23,10.53,10.06,143666.0,600305,10.5
140,2018-12-25,10.11,10.44,10.47,10.02,150324.0,600305,10.0
142,2018-12-27,10.47,10.36,10.54,10.27,204140.0,600305,10.5
143,2018-12-28,10.4,10.4,10.45,10.16,97744.0,600305,10.0
144,2019-01-02,10.45,10.36,10.61,10.34,132447.0,600305,10.5
146,2019-01-04,9.69,10.15,10.18,9.63,158668.0,600305,10.0
148,2019-01-08,10.59,10.7,10.75,10.51,153341.0,600305,10.5
149,2019-01-09,10.74,10.78,11.06,10.64,196169.0,600305,11.0
152,2019-01-14,10.9,10.68,10.95,10.65,104035.0,600305,10.5
156,2019-01-18,11.15,11.15,11.28,11.06,131573.0,600305,11.0
157,2019-01-21,11.18,11.2,11.54,11.13,143405.0,600305,11.5
159,2019-01-23,11.08,11.25,11.38,11.08,97555.0,600305,11.0
161,2019-01-25,11.49,11.76,11.88,11.43,190372.0,600305,11.5
162,2019-01-28,11.81,11.69,12.05,11.66,183701.0,600305,12.0
164,2019-01-30,11.51,11.17,11.63,11.07,293001.0,600305,11.5
166,2019-02-01,11.28,11.24,11.42,11.05,169992.0,600305,11.0
168,2019-02-12,11.69,11.78,11.8,11.53,159209.0,600305,11.5
170,2019-02-14,11.88,11.92,12.09,11.73,130007.0,600305,12.0
172,2019-02-18,11.7,11.99,11.99,11.7,169480.0,600305,11.5
173,2019-02-19,11.95,11.76,12.02,11.58,192194.0,600305,12.0
179,2019-02-27,11.46,11.6,11.8,11.36,249506.0,600305,11.5
184,2019-03-06,12.09,11.99,12.09,11.85,188048.0,600305,12.0
189,2019-03-13,11.48,11.62,11.67,11.34,207072.0,600305,11.5
191,2019-03-15,11.71,12.0,12.08,11.62,284217.0,600305,12.0
198,2019-03-26,12.27,12.28,12.71,12.27,221483.0,600305,12.5
200,2019-03-28,12.91,13.17,13.39,12.84,217419.0,600305,13.0
201,2019-03-29,13.11,13.71,13.86,13.11,286986.0,600305,13.5
202,2019-04-01,13.66,13.8,14.14,13.51,293213.0,600305,14.0
203,2019-04-02,13.75,13.72,13.75,13.58,160607.0,600305,13.5
204,2019-04-03,13.6,13.86,14.18,13.58,184286.0,600305,14.0
205,2019-04-04,13.69,13.8,13.97,13.64,151371.0,600305,13.5
206,2019-04-08,13.81,13.61,14.16,13.4,199709.0,600305,14.0
207,2019-04-09,13.54,13.71,13.82,13.5,114843.0,600305,13.5
208,2019-04-10,13.66,14.38,14.57,13.56,248478.0,600305,14.5
209,2019-04-11,14.26,13.4,14.34,13.35,241751.0,600305,14.0
211,2019-04-15,13.55,13.17,13.59,13.1,123628.0,600305,13.5
215,2019-04-19,13.0,13.2,13.25,13.0,111286.0,600305,13.0
219,2019-04-25,13.65,13.0,13.7,13.0,133534.0,600305,13.5
220,2019-04-26,12.81,12.95,13.25,12.8,114018.0,600305,13.0
221,2019-04-29,13.11,13.22,13.54,12.88,229244.0,600305,13.5
224,2019-05-07,12.5,12.99,13.12,12.45,186917.0,600305,13.0
225,2019-05-08,12.7,13.26,13.53,12.65,196886.0,600305,13.5
226,2019-05-09,13.08,12.81,13.26,12.75,116950.0,600305,13.0
229,2019-05-14,13.72,13.68,13.91,13.58,135335.0,600305,13.5
231,2019-05-16,14.11,14.26,14.32,14.01,161801.0,600305,14.0
232,2019-05-17,14.2,14.11,14.52,13.97,192316.0,600305,14.5
236,2019-05-23,14.18,13.67,14.18,13.56,141445.0,600305,14.0
238,2019-05-27,13.52,13.89,13.91,13.29,120478.0,600305,13.5
241,2019-05-30,13.78,14.19,14.22,13.68,167487.0,600305,14.0
242,2019-05-31,14.22,14.59,14.75,14.03,259005.0,600305,14.5
